,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,energy,agent,link,scrapDate
6,cc49566d,Apartment Dusartstraat,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",1950.0,1072,HT,Nieuwe Pijp,67,2,Upholstered,Not Available,LV Housing,https://www.pararius.com/apartment-for-rent/amsterdam/cc49566d/dusartstraat,2022-10-25 22:18:52
7,0f902e52,Apartment Jan van Duivenvoordestraat 157,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",2100.0,1067,MT,Geuzenveld,94,3,Furnished,B,Expat Rental Scout,https://www.pararius.com/apartment-for-rent/amsterdam/0f902e52/jan-van-duivenvoordestraat,2022-10-25 22:18:52
8,0f8428d9,Apartment Koninginneweg 225 2,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",3450.0,1075,CS,Willemspark,75,3,Furnished,B,Parker & Williams Real Estate Services,https://www.pararius.com/apartment-for-rent/amsterdam/0f8428d9/koninginneweg,2022-10-25 22:18:52
9,915ad508,Apartment Zocherstraat 12 4,"
3 weeks
","
Immediately
",NA,"
For rent
",2295.0,1054,LX,Overtoomse Sluis,90,4,NA,Not Available,Rappange Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/915ad508/zocherstraat,2022-10-25 22:18:52
10,5fc9d93a,Apartment Rosmarijnsteeg,"
3 weeks
","
From 02-11-2022
",NA,"
For rent
",2100.0,1012,RP,Burgwallen-Nieuwe Zijde,50,2,Furnished,Not Available,Housing Agency,https://www.pararius.com/apartment-for-rent/amsterdam/5fc9d93a/rosmarijnsteeg,2022-10-25 22:18:52
11,8bbd4d82,Apartment Stadionweg 37 III,"
3 weeks
","
From 15-11-2022
",NA,"
For rent
",6250.0,1077,RW,Apollobuurt,232,6,Upholstered,Not Available,Valerius Rentals,https://www.pararius.com/apartment-for-rent/amsterdam/8bbd4d82/stadionweg,2022-10-25 22:18:52
12,524f2370,Apartment Boutenburg 231,"
3 weeks
","
Immediately
",NA,"
For rent
",2300.0,1068,ZE,Osdorp-Oost,65,3,Furnished,C,Amsterdam Housing,https://www.pararius.com/apartment-for-rent/amsterdam/524f2370/boutenburg,2022-10-25 22:18:52
13,38c5a4be,Apartment Bellamystraat,"
3 weeks
","
In consultation
",NA,"
For rent
",3950.0,1053,BG,Kinkerbuurt,100,4,NA,A,Van Maarschalkerwaart Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/38c5a4be/bellamystraat,2022-10-25 22:18:52
14,6fd04de0,Apartment Kastanjeweg 2 HS,"
3 weeks
","
In consultation
",NA,"
For rent
",3250.0,1092,CE,Oosterparkbuurt,130,4,NA,D,Smit & Heinen Makelaars en Taxateurs,https://www.pararius.com/apartment-for-rent/amsterdam/6fd04de0/kastanjeweg,2022-10-25 22:18:52
15,fba7c038,Apartment Rubensstraat,"
3 weeks
","
In consultation
",NA,"
For rent
",3750.0,1077,MV,Apollobuurt,127,5,Furnished,Not Available,Heeren Makelaars B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/fba7c038/rubensstraat,2022-10-25 22:18:52
16,761b73ca,Apartment Burmanstraat,"
3 weeks
","
Immediately
",NA,"
For rent
",1795.0,1091,SK,Weesperzijde,50,2,Furnished,B,A Plus Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/761b73ca/burmanstraat,2022-10-25 22:18:52
17,f6815a75,Apartment Juliana van Stolbergstraat,"
3 weeks
","
Immediately
",NA,"
For rent
",2975.0,1055,RM,Landlust,52,3,Furnished,C,NEWCURB Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/f6815a75/juliana-van-stolbergstraat,2022-10-25 22:18:52
