,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
4,f5f35ef5,Apartment Prinsengracht,"
5 weeks
","
Immediately
",Under option,"
Under option
",2495.0,1016,JB,Jordaan,85,2,Furnished,People On The Move Expat Brokers,https://www.pararius.com/apartment-for-rent/amsterdam/f5f35ef5/prinsengracht,2022-10-19 20:33:16
5,82b91197,Apartment Bronckhorststraat 46,"
5 weeks
","
Immediately
",Under offer,"
Under offer
",3500.0,1071,WV,Museumkwartier,104,4,Upholstered,Dutch Housing Centre BV,https://www.pararius.com/apartment-for-rent/amsterdam/82b91197/bronckhorststraat,2022-10-19 20:33:16
6,00df0df1,Apartment Prinsengracht 246 H,"
6 weeks
","
Immediately
",Under offer,"
Under offer
",3500.0,1016,HE,Jordaan,131,4,NA,De la Haye Makelaardij O.G.,https://www.pararius.com/apartment-for-rent/amsterdam/00df0df1/prinsengracht,2022-10-19 20:33:16
7,3ded4d87,House Johannes Verhulststraat,"
6 weeks
","
In consultation
",Under offer,"
Under offer
",13500.0,1071,MX,Museumkwartier,383,10,NA,Heeren Makelaars B.V.,https://www.pararius.com/house-for-rent/amsterdam/3ded4d87/johannes-verhulststraat,2022-10-19 20:33:16
8,55d07e54,Apartment Bestevâerstraat,"
6 weeks
","
Immediately
",Under option,"
Under option
",1750.0,1055,TL,Landlust,71,2,NA,Hausing,https://www.pararius.com/apartment-for-rent/amsterdam/55d07e54/bestevaerstraat,2022-10-19 20:33:16
9,2c6e0bb2,Apartment Diezestraat,"
6 weeks
","
Immediately
",Under option,"
Under option
",3750.0,1078,JR,Scheldebuurt,161,5,Upholstered,Keij & Stefels Makelaars en Taxateurs,https://www.pararius.com/apartment-for-rent/amsterdam/2c6e0bb2/diezestraat,2022-10-19 20:33:16
10,4dcf1277,Apartment Koninginneweg 40 C,"
7 weeks
","
Immediately
",Under offer,"
Under offer
",6500.0,1075,CZ,Willemspark,180,6,NA,Peter Bruin Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/4dcf1277/koninginneweg,2022-10-19 20:33:16
11,517c4396,Apartment Alexander Boersstraat 31 I,"
7 weeks
","
Immediately
",Under option,"
Under option
",2500.0,1071,KV,Museumkwartier,61,2,Upholstered or furnished,Ter Haar Makelaars B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/517c4396/alexander-boersstraat,2022-10-19 20:33:16
12,ebf1d552,Apartment Herengracht 132 C,"
8 weeks
","
Immediately
",Under offer,"
Under offer
",10500.0,1015,BV,Grachtengordel-West,190,4,Upholstered or furnished,AmsterHomes,https://www.pararius.com/apartment-for-rent/amsterdam/ebf1d552/herengracht,2022-10-19 20:33:16
13,7630648e,Apartment Nieuwpoortstraat 94 C6,"
2 months
","
Immediately
",Under option,"
Under option
",1700.0,1055,RZ,Landlust,48,2,Upholstered,Rent a Stone,https://www.pararius.com/apartment-for-rent/amsterdam/7630648e/nieuwpoortstraat,2022-10-19 20:33:16
14,11720b25,House Prinsengracht,"
2 months
","
In consultation
",Under offer,"
Under offer
",3950.0,1016,JA,Jordaan,181,6,Upholstered,Kalwij Vastgoed,https://www.pararius.com/house-for-rent/amsterdam/11720b25/prinsengracht,2022-10-19 20:33:16
15,0331114c,Apartment Bloemgracht,"
2 months
","
Immediately
",Under offer,"
Under offer
",6000.0,1015,TT,Jordaan,195,6,Upholstered,Koops Makelaardij Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/0331114c/bloemgracht,2022-10-19 20:33:16
16,05d1a28f,Apartment Spuistraat 257 D,"
2 months
","
In consultation
",Under option,"
Under option
",2750.0,1012,VR,Burgwallen-Nieuwe Zijde,60,4,Upholstered,Smit & Heinen Makelaars en Taxateurs,https://www.pararius.com/apartment-for-rent/amsterdam/05d1a28f/spuistraat,2022-10-19 20:33:16
17,eb91bb9f,Apartment Plantage Kerklaan,"
3 months
","
Immediately
",Under offer,"
Under offer
",2750.0,1018,SX,Weesperbuurt/Plantage,90,3,Furnished,Koops Makelaardij Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/eb91bb9f/plantage-kerklaan,2022-10-19 20:33:16
