,id,header,status,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
26,7198d31e,Apartment Sarphatipark,NA,3250.0,1073,CZ,Nieuwe Pijp,88,3,Upholstered,Amstel Vastgoed,http://www.pararius.com/apartment-for-rent/amsterdam/7198d31e/sarphatipark,2022-09-25 21:19:39
27,bda19462,Apartment Geldersekade 45 A,NA,1600.0,1011,EJ,Nieuwmarkt/Lastage,46,1,NA,Rent a Stone,http://www.pararius.com/apartment-for-rent/amsterdam/bda19462/geldersekade,2022-09-25 21:19:39
28,e3566d5c,Apartment Singel 436 E,NA,3250.0,1017,AV,Grachtengordel-Zuid,140,3,Upholstered or furnished,Amsterdam Housing,http://www.pararius.com/apartment-for-rent/amsterdam/e3566d5c/singel,2022-09-25 21:19:39
29,0d1c5ba1,Apartment Overtoom 493 1,NA,3000.0,1054,LG,Overtoomse Sluis,169,5,Furnished,Tweelwonen.nl Leiden,http://www.pararius.com/apartment-for-rent/amsterdam/0d1c5ba1/overtoom,2022-09-25 21:19:39
30,2cd2c0ef,Apartment John Blankensteinstraat 59 1,NA,1450.0,1095,MB,Zeeburgereiland/Nieuwe Diep,48,3,Upholstered or furnished,ViaDaan,http://www.pararius.com/apartment-for-rent/amsterdam/2cd2c0ef/john-blankensteinstraat,2022-09-25 21:19:39
1,9618d911,Apartment Overtoom,NA,2750.0,1054,JD,Helmersbuurt,87,3,Upholstered,Relocation Advisers B.V.,http://www.pararius.com/apartment-for-rent/amsterdam/9618d911/overtoom,2022-09-25 21:19:39
2,5d198026,House Schapenburgerpad 20,NA,4000.0,1071,ZA,Museumkwartier,198,6,Upholstered or furnished,Ter Haar Makelaars B.V.,http://www.pararius.com/house-for-rent/amsterdam/5d198026/schapenburgerpad,2022-09-25 21:19:39
3,4baae33a,Apartment Prinsengracht 689 4,NA,2250.0,1017,JV,Grachtengordel-Zuid,65,2,Furnished,DSTRCT Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/4baae33a/prinsengracht,2022-09-25 21:19:39
4,c0e14d72,Apartment Rupelmonde,NA,2250.0,1081,GP,Buitenveldert-West,73,3,Upholstered,WE Relocate,http://www.pararius.com/apartment-for-rent/amsterdam/c0e14d72/rupelmonde,2022-09-25 21:19:39
5,3025aa94,Apartment Zwanenburgwal 294,NA,3250.0,1011,JH,Nieuwmarkt/Lastage,107,3,Furnished,Amsterdam Housing,http://www.pararius.com/apartment-for-rent/amsterdam/3025aa94/zwanenburgwal,2022-09-25 21:19:39
